strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_d_strong_1_5_weak_0_5__base_cost,Q,2024Q2,100471.4786547344,100341.00533125467,-0.0012986105631838107,2,0.0,-0.0012986105631838107,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2024Q3,100341.00533125467,101879.6786897186,0.015334442318813979,5,0.6,-0.0007186120974723709,22.095852337461267,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2025Q1,101879.6786897186,103948.76824276346,0.020309148788606013,5,0.4,-0.0035199285667196767,5.77764486553874,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2025Q2,103948.76824276346,103431.61666460137,-0.004975062109002781,3,0.0,-0.004975062109002781,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2025Q3,103431.61666460137,103286.72687071357,-0.0014008269285555874,1,0.0,-0.0014008269285555874,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2025Q4,103286.72687071357,102923.99640558354,-0.0035118787875237922,6,0.16666666666666666,-0.007932230456670464,0.6446793014742798,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2026Q1,102923.99640558354,105364.90955986945,0.023715685744140957,6,0.16666666666666666,-0.01040554598748722,3.2031735492348337,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__base_cost,Q,2026Q2,105364.90955986945,105319.60115922615,-0.00043001413689403023,1,0.0,-0.00043001413689403023,0.0,v8_d_strong_1_5_weak_0_5,base_cost,Best dynamic sizing under original costs
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2021Q2,100000.0,99975.23075733754,-0.00024769242662459057,1,0.0,-0.00024769242662459057,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2021Q4,99975.23075733754,100255.07587323981,0.0027991444859127856,1,1.0,0.0,999.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2022Q1,100255.07587323981,100528.32111150051,0.0027255002889448043,6,0.3333333333333333,-0.006896737464219371,1.225775815396501,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
